예보일시,시도명,시군구명,실효습도,풍속,등급
2017-01-17 15:00,강원도,인제군,34.6,7.3,주의보
2017-01-23 11:00,경상북도,포항시 남구,30.9,7.3,주의보
2017-01-24 14:00,전라남도,여수시,36.2,7.3,주의보
2017-01-27 10:00,경상북도,포항시 북구,34.2,8.4,주의보
2017-01-27 10:00,경상북도,경주시,34.1,7.8,주의보
2017-01-27 10:00,경상북도,경주시,30.2,7.5,주의보
2017-01-27 11:00,전라남도,여수시,37.6,7.4,주의보
2017-01-27 11:00,경상북도,경주시,33.6,7.5,주의보
2017-01-27 12:00,전라남도,여수시,40.1,7.2,주의보
2017-01-27 12:00,전라남도,여수시,37.0,7.2,주의보
2017-01-27 12:00,전라남도,여수시,34.7,7.0,주의보
2017-01-27 12:00,전라남도,여수시,36.9,8.8,주의보
2017-01-27 12:00,전라남도,여수시,35.0,7.2,주의보
2017-01-27 14:00,전라남도,여수시,33.7,7.1,주의보
2017-01-27 14:00,전라남도,여수시,35.5,7.0,주의보
2017-01-27 15:00,경상북도,청송군,39.1,7.5,주의보
2017-01-27 16:00,전라남도,여수시,37.6,8.3,주의보
2017-01-27 16:00,전라남도,여수시,34.8,7.6,주의보
2017-01-27 16:00,전라남도,여수시,39.8,8.3,주의보
2017-01-27 16:00,전라남도,여수시,41.1,8.4,주의보
2017-01-27 16:00,전라남도,여수시,42.2,7.4,주의보
2017-01-27 16:00,전라남도,여수시,38.3,8.1,주의보
2017-01-27 16:00,전라남도,여수시,33.1,7.1,주의보
2017-01-27 16:00,전라남도,여수시,34.6,8.1,주의보
2017-01-27 16:00,전라남도,여수시,41.8,7.0,주의보
2017-01-27 16:00,전라남도,여수시,41.2,8.3,주의보
2017-01-27 16:00,전라남도,여수시,40.9,8.2,주의보
2017-01-27 17:00,전라남도,여수시,40.8,7.1,주의보
2017-01-27 17:00,전라남도,여수시,37.9,7.1,주의보
2017-01-27 19:00,전라남도,여수시,33.8,7.0,주의보
2017-01-27 20:00,전라남도,여수시,33.7,7.0,주의보
2017-01-30 13:00,경상남도,창원시 진해구,44.6,8.1,주의보
2017-01-30 16:00,울산광역시,울주군,44.6,7.4,주의보
2017-02-01 6:00,전라남도,여수시,38.3,7.8,주의보
2017-02-01 12:00,충청남도,태안군,43.6,7.9,주의보
2017-02-01 14:00,전라남도,여수시,35.4,8.0,주의보
2017-02-01 14:00,전라남도,여수시,40.2,7.1,주의보
2017-02-01 14:00,경상북도,경주시,39.3,7.1,주의보
2017-02-01 15:00,전라남도,여수시,37.0,8.3,주의보
2017-02-01 15:00,전라남도,여수시,35.1,7.9,주의보
2017-02-01 15:00,전라남도,여수시,39.2,8.2,주의보
2017-02-01 15:00,전라남도,여수시,40.6,8.2,주의보
2017-02-01 15:00,전라남도,여수시,38.4,8.3,주의보
2017-02-01 15:00,전라남도,여수시,38.5,7.6,주의보
2017-02-01 15:00,전라남도,여수시,34.0,8.2,주의보
2017-02-01 15:00,전라남도,여수시,34.0,8.0,주의보
2017-02-01 15:00,전라남도,여수시,39.9,8.0,주의보
2017-02-01 15:00,전라남도,여수시,39.1,7.2,주의보
2017-02-01 15:00,전라남도,여수시,40.1,7.8,주의보
2017-02-01 15:00,전라남도,여수시,39.9,7.1,주의보
2017-02-01 16:00,전라남도,여수시,36.8,8.8,주의보
2017-02-01 16:00,전라남도,여수시,34.9,8.1,주의보
2017-02-01 16:00,전라남도,여수시,38.3,7.1,주의보
2017-02-01 16:00,전라남도,여수시,33.8,7.8,주의보
2017-02-01 16:00,전라남도,여수시,33.8,8.1,주의보
2017-02-01 16:00,전라남도,여수시,38.9,7.6,주의보
2017-02-01 16:00,전라남도,여수시,39.7,8.5,주의보
2017-02-01 16:00,전라남도,여수시,39.9,8.3,주의보
2017-02-01 16:00,전라남도,여수시,39.4,7.4,주의보
2017-02-01 17:00,전라남도,여수시,36.6,8.0,주의보
2017-02-01 17:00,전라남도,여수시,34.8,7.3,주의보
2017-02-01 17:00,전라남도,여수시,37.5,9.0,주의보
2017-02-01 17:00,전라남도,여수시,33.6,7.4,주의보
2017-02-01 17:00,전라남도,여수시,33.6,7.2,주의보
2017-02-01 17:00,전라남도,여수시,39.8,8.2,주의보
2017-02-01 17:00,전라남도,여수시,39.6,8.3,주의보
2017-02-01 17:00,전라남도,여수시,38.7,7.8,주의보
2017-02-01 17:00,전라남도,여수시,39.3,7.6,주의보
2017-02-01 17:00,전라남도,여수시,39.5,7.1,주의보
2017-02-01 17:00,전라남도,순천시,38.1,7.0,주의보
2017-02-01 18:00,전라남도,여수시,33.4,7.3,주의보
2017-02-01 18:00,전라남도,여수시,37.4,8.0,주의보
2017-02-01 19:00,전라남도,여수시,34.5,7.2,주의보
2017-02-02 10:00,전라남도,여수시,33.6,7.0,주의보
2017-02-02 10:00,전라남도,여수시,32.7,9.8,주의보
2017-02-02 10:00,전라남도,여수시,32.8,7.3,주의보
2017-02-02 10:00,전라남도,여수시,33.4,7.5,주의보
2017-02-02 10:00,전라남도,여수시,33.6,7.2,주의보
2017-02-02 10:00,경상북도,울진군,41.5,7.6,주의보
2017-02-02 11:00,전라남도,여수시,32.5,7.1,주의보
2017-02-02 11:00,전라남도,보성군,40.8,8.0,주의보
2017-02-02 11:00,경상북도,울진군,41.1,8.3,주의보
2017-02-02 11:00,경상북도,울진군,41.9,9.0,주의보
2017-02-02 12:00,강원도,강릉시,37.4,8.5,주의보
2017-02-02 12:00,전라남도,여수시,34.1,7.0,주의보
2017-02-02 12:00,전라남도,여수시,32.3,7.7,주의보
2017-02-02 12:00,전라남도,여수시,32.7,7.2,주의보
2017-02-02 12:00,전라남도,여수시,33.2,7.6,주의보
2017-02-02 12:00,전라남도,여수시,32.5,8.0,주의보
2017-02-02 12:00,전라남도,여수시,34.9,7.2,주의보
2017-02-02 12:00,전라남도,여수시,35.1,7.3,주의보
2017-02-02 12:00,전라남도,여수시,34.4,7.6,주의보
2017-02-02 12:00,전라남도,여수시,36.9,7.0,주의보
2017-02-02 12:00,전라남도,여수시,35.8,7.1,주의보
2017-02-02 12:00,전라남도,순천시,36.3,7.0,주의보
2017-02-02 12:00,전라남도,순천시,32.7,7.2,주의보
2017-02-02 12:00,전라남도,보성군,40.2,9.6,주의보
2017-02-02 12:00,경상북도,김천시,41.2,7.3,주의보
2017-02-02 12:00,경상북도,울진군,40.7,7.4,주의보
2017-02-02 12:00,경상북도,울진군,41.5,8.3,주의보
2017-02-02 12:00,경상북도,울진군,41.3,7.2,주의보
2017-02-02 12:00,경상북도,울진군,40.9,7.1,주의보
2017-02-02 13:00,강원도,강릉시,37.1,9.2,주의보
2017-02-02 13:00,강원도,강릉시,32.0,7.2,주의보
2017-02-02 13:00,전라남도,여수시,31.8,8.9,주의보
2017-02-02 13:00,전라남도,여수시,30.2,8.7,주의보
2017-02-02 13:00,전라남도,여수시,32.8,9.6,주의보
2017-02-02 13:00,전라남도,여수시,34.7,9.3,주의보
2017-02-02 13:00,전라남도,여수시,36.5,7.3,주의보
2017-02-02 13:00,전라남도,여수시,33.1,8.3,주의보
2017-02-02 13:00,전라남도,여수시,29.7,7.9,주의보
2017-02-02 13:00,전라남도,여수시,29.7,7.6,주의보
2017-02-02 13:00,전라남도,여수시,33.8,8.2,주의보
2017-02-02 13:00,전라남도,여수시,33.0,9.9,주의보
2017-02-02 13:00,전라남도,여수시,32.6,8.5,주의보
2017-02-02 13:00,전라남도,여수시,33.2,9.4,주의보
2017-02-02 13:00,전라남도,여수시,32.4,9.1,주의보
2017-02-02 13:00,전라남도,여수시,30.0,7.0,주의보
2017-02-02 13:00,전라남도,여수시,34.1,8.8,주의보
2017-02-02 13:00,전라남도,여수시,34.6,7.6,주의보
2017-02-02 13:00,전라남도,여수시,34.8,7.7,주의보
2017-02-02 13:00,전라남도,여수시,38.1,7.4,주의보
2017-02-02 13:00,전라남도,여수시,36.6,7.6,주의보
2017-02-02 13:00,전라남도,여수시,35.5,8.0,주의보
2017-02-02 13:00,전라남도,보성군,39.7,8.5,주의보
2017-02-02 13:00,경상북도,영덕군,36.1,7.1,주의보
2017-02-02 13:00,경상북도,울진군,40.3,8.7,주의보
2017-02-02 13:00,경상북도,울진군,41.0,9.1,주의보
2017-02-02 13:00,경상북도,울진군,40.4,8.1,주의보
2017-02-02 13:00,경상북도,울진군,35.9,7.7,주의보
2017-02-02 16:00,강원도,강릉시,36.6,8.6,주의보
2017-02-02 16:00,전라남도,여수시,31.0,7.9,주의보
2017-02-02 16:00,전라남도,여수시,29.4,7.5,주의보
2017-02-02 16:00,전라남도,여수시,32.1,7.4,주의보
2017-02-02 16:00,전라남도,여수시,34.0,7.2,주의보
2017-02-02 16:00,전라남도,여수시,35.6,7.5,주의보
2017-02-02 16:00,전라남도,여수시,32.3,7.8,주의보
2017-02-02 16:00,전라남도,여수시,30.9,7.9,주의보
2017-02-02 16:00,전라남도,여수시,29.0,7.2,주의보
2017-02-02 16:00,전라남도,여수시,28.9,7.4,주의보
2017-02-02 16:00,경상북도,김천시,39.5,7.3,주의보
2017-02-02 16:00,경상북도,울진군,39.8,7.0,주의보
2017-02-02 16:00,경상남도,남해군,38.7,7.1,주의보
2017-02-02 16:00,경상남도,남해군,31.0,7.4,주의보
2017-02-02 17:00,강원도,강릉시,36.6,9.0,주의보
2017-02-02 17:00,강원도,강릉시,31.6,7.0,주의보
2017-02-02 17:00,전라남도,여수시,30.8,7.2,주의보
2017-02-02 17:00,전라남도,여수시,33.8,7.0,주의보
2017-02-02 17:00,전라남도,여수시,35.4,7.5,주의보
2017-02-02 17:00,전라남도,여수시,32.0,7.5,주의보
2017-02-02 17:00,전라남도,여수시,30.6,7.3,주의보
2017-02-02 17:00,경상북도,울진군,39.6,7.3,주의보
2017-02-02 17:00,경상남도,남해군,30.8,7.3,주의보
2017-02-02 17:00,경상남도,남해군,38.5,7.5,주의보
2017-02-02 18:00,강원도,강릉시,36.5,9.8,주의보
2017-02-02 18:00,전라남도,여수시,30.4,7.0,주의보
2017-02-02 18:00,전라남도,여수시,34.8,7.0,주의보
2017-02-02 19:00,전라남도,여수시,30.2,8.5,주의보
2017-02-02 20:00,전라남도,여수시,30.1,8.6,주의보
2017-02-02 21:00,전라남도,여수시,30.1,8.9,주의보
2017-02-02 21:00,경상북도,포항시 북구,29.3,8.0,주의보
2017-02-03 12:00,전라남도,보성군,42.9,7.0,주의보
2017-02-04 16:00,경상북도,울진군,37.2,7.5,주의보
2017-02-06 13:00,경상북도,영덕군,38.6,7.8,주의보
2017-02-06 13:00,경상북도,영덕군,36.8,7.8,주의보
2017-02-06 14:00,전라남도,여수시,39.4,7.8,주의보
2017-02-06 14:00,전라남도,여수시,43.6,7.4,주의보
2017-02-06 14:00,경상북도,영덕군,36.4,7.6,주의보
2017-02-06 14:00,경상북도,영덕군,40.6,7.3,주의보
2017-02-06 14:00,경상북도,영덕군,39.5,7.8,주의보
2017-02-06 15:00,전라남도,여수시,42.5,8.1,주의보
2017-02-06 15:00,경상북도,포항시 남구,37.1,7.3,주의보
2017-02-06 15:00,경상북도,포항시 남구,38.2,7.0,주의보
2017-02-06 15:00,경상북도,경주시,41.6,7.0,주의보
2017-02-06 15:00,경상북도,영덕군,39.9,7.1,주의보
2017-02-06 15:00,경상북도,영덕군,41.9,7.2,주의보
2017-02-06 15:00,경상북도,영덕군,39.6,7.3,주의보
2017-02-06 16:00,전라남도,여수시,38.9,8.0,주의보
